City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
208,kouango,4.9934,19.9619,297.46,72,100,0.15,CF,1681952272
209,buala,-8.145,159.5921,301.77,69,51,1.09,SB,1681952273
210,cayenne,4.9333,-52.3333,297.17,100,100,0.0,GF,1681952027
211,san juan,-31.5375,-68.5364,292.55,27,3,1.25,AR,1681952184
212,nanortalik,60.1432,-45.2371,272.96,93,45,2.31,GL,1681952273
213,vostok,46.4856,135.8833,277.49,93,100,2.93,RU,1681952273
214,hobart,-42.8794,147.3294,289.07,76,75,4.63,AU,1681952179
215,erenhot,43.6475,111.9767,278.38,18,84,1.14,CN,1681952273
216,verkhnevilyuysk,63.4453,120.3167,269.59,90,47,3.31,RU,1681952273
217,taltal,-25.4,-70.4833,291.45,81,11,0.94,CL,1681952273
218,faya,18.3851,42.4509,289.21,66,0,1.55,SA,1681952273
219,roma,43.2128,-75.4557,276.38,73,0,3.09,US,1681952273
220,lagoa,39.05,-27.9833,286.25,62,20,11.99,PT,1681952273
221,kikwit,-5.041,18.8162,295.93,92,90,1.31,CD,1681952273
222,mangan,27.5167,88.5333,296.41,40,5,1.98,IN,1681952273
223,lompoc,34.6391,-120.4579,294.7,67,20,10.8,US,1681952273
224,saint-joseph,-21.3667,55.6167,297.36,82,19,5.25,RE,1681952274
225,fortuna,40.5982,-124.1573,286.44,62,19,1.34,US,1681952274
226,hasaki,35.7333,140.8333,294.42,84,100,1.54,JP,1681952274
227,komsomolskiy,40.4272,71.7189,279.55,70,100,3.09,UZ,1681952274
228,nioro,13.35,-15.75,300.8,31,100,5.09,GM,1681952274
229,cherskiy,68.75,161.3,273.71,100,100,2.0,RU,1681952274
230,longview,32.5007,-94.7405,300.29,44,20,5.66,US,1681952232
231,cabo san lucas,22.8909,-109.9124,300.32,55,40,3.09,MX,1681951975
232,saint-augustin,51.226,-58.6502,274.45,97,100,3.64,CA,1681952274
233,maroantsetra,-15.4333,49.7333,297.5,89,67,1.47,MG,1681952274
234,yar-sale,66.8333,70.8333,258.42,96,39,2.57,RU,1681952274
235,muisne,0.6,-80.0333,299.68,84,100,2.07,EC,1681952275
236,luleburgaz,41.4039,27.3592,280.85,93,21,1.47,TR,1681952275
237,weihai,37.5017,122.1136,285.25,87,100,3.93,CN,1681952275
238,korablino,53.9164,40.0133,281.16,58,98,2.35,RU,1681952275
239,mayo,38.8876,-76.5119,291.7,71,0,2.06,US,1681952275
240,chokurdakh,70.6333,147.9167,258.65,92,71,1.86,RU,1681952275
241,wajima,37.4,136.9,293.53,82,75,4.12,JP,1681952275
242,iquique,-20.2208,-70.1431,293.17,81,76,0.72,CL,1681952108
243,oktyabrskoye,43.0645,44.7417,284.44,75,100,0.89,RU,1681952275
244,ostrovnoy,68.0531,39.5131,275.53,92,100,7.44,RU,1681952275
